uid,x,y
7174,386.0,247.0
6963,361.0,91.0
4330,349.0,92.0
1,363.0,94.0
6620,367.0,94.0
6980,351.0,95.0
6858,583.0,446.0
6964,245.0,146.0
6843,260.0,167.0
5173,260.0,172.0
6385,259.0,177.0
6719,417.0,177.0
5187,267.0,179.0
6967,267.0,183.0
7071,408.0,184.0
3388,268.0,185.0
6986,61.0,187.0
6022,266.0,189.0
7072,257.0,192.0
6600,400.0,192.0
7175,489.0,194.0
4351,347.0,198.0
6844,545.0,446.0
7002,354.0,200.0
6845,112.0,441.0
6870,315.0,202.0
5649,369.0,204.0
7176,315.0,206.0
6601,504.0,436.0
7073,357.0,432.0
5555,311.0,208.0
7177,316.0,210.0
2840,305.0,211.0
6263,313.0,211.0
5304,360.0,212.0
5560,359.0,430.0
6489,367.0,214.0
6264,309.0,216.0
7178,179.0,430.0
6989,278.0,220.0
7179,281.0,220.0
6988,276.0,221.0
6855,307.0,221.0
7180,357.0,429.0
5905,177.0,429.0
7181,55.0,227.0
7093,306.0,227.0
7182,322.0,227.0
7183,325.0,227.0
3867,252.0,228.0
6027,119.0,426.0
7074,299.0,396.0
6482,327.0,394.0
7184,264.0,230.0
7185,330.0,393.0
5294,252.0,231.0
6388,259.0,231.0
6861,319.0,231.0
7186,324.0,232.0
6862,326.0,232.0
5549,251.0,234.0
7187,326.0,392.0
7188,298.0,234.0
6266,301.0,392.0
7189,279.0,235.0
6376,394.0,235.0
6611,316.0,236.0
7190,228.0,384.0
6883,77.0,357.0
7191,471.0,343.0
7192,355.0,326.0
6985,306.0,240.0
7079,354.0,324.0
5600,352.0,323.0
7193,250.0,243.0
3647,301.0,243.0
5914,288.0,321.0
6377,293.0,319.0
6722,244.0,314.0
7194,246.0,313.0
7195,323.0,245.0
6841,256.0,247.0
7007,248.0,312.0
6499,312.0,247.0
6962,345.0,91.0
6993,282.0,248.0
5299,304.0,249.0
6869,279.0,250.0
5197,401.0,305.0
7196,393.0,296.0
7016,298.0,252.0
6974,226.0,288.0
3986,254.0,253.0
6975,388.0,287.0
7090,370.0,282.0
6486,237.0,279.0
7085,297.0,264.0
7197,295.0,265.0
6977,302.0,278.0
5919,299.0,267.0
2826,295.0,277.0
6979,250.0,269.0
7092,289.0,269.0
7091,274.0,274.0
6496,300.0,271.0
7198,246.0,272.0
6987,251.0,272.0
6386,371.0,273.0
7199,363.0,201.0
6996,111.60000610351562,441.6000061035156
7200,345.6000061035156,91.20000457763672
5429,349.20001220703125,92.4000015258789
7096,361.20001220703125,93.60000610351562
7201,366.0,93.60000610351562
7202,351.6000061035156,94.80000305175781
6972,228.00001525878906,382.8000183105469
7203,244.8000030517578,146.40000915527344
6998,254.40000915527344,157.20001220703125
6516,246.00001525878906,313.20001220703125
6622,400.8000183105469,304.8000183105469
5798,417.6000061035156,177.60000610351562
7001,393.6000061035156,295.20001220703125
6878,406.8000183105469,184.8000030517578
7204,391.20001220703125,295.20001220703125
5927,387.6000061035156,286.8000183105469
7205,385.20001220703125,286.8000183105469
6852,225.60000610351562,286.8000183105469
6757,237.60000610351562,278.4000244140625
6520,246.00001525878906,271.20001220703125
6652,292.8000183105469,198.00001525878906
7206,352.8000183105469,90.0
6882,357.6000061035156,429.6000061035156
6168,297.6000061035156,396.0000305175781
7207,327.6000061035156,394.8000183105469
6047,352.8000183105469,204.00001525878906
7100,352.8000183105469,392.4000244140625
6751,330.0,392.4000244140625
7099,326.4000244140625,392.4000244140625
6395,309.6000061035156,208.8000030517578
6513,301.20001220703125,391.20001220703125
7208,76.80000305175781,356.4000244140625
6421,355.20001220703125,326.4000244140625
5577,313.20001220703125,211.20001220703125
6884,354.0,324.0
7209,351.6000061035156,322.8000183105469
4503,288.0,320.4000244140625
6627,308.4000244140625,216.00001525878906
7101,242.40000915527344,316.8000183105469
6024,306.0,220.8000030517578
7102,327.6000061035156,225.60000610351562
7210,243.60000610351562,314.4000244140625
7098,261.6000061035156,166.8000030517578
6506,259.20001220703125,171.60000610351562
3291,266.4000244140625,178.8000030517578
5316,252.00001525878906,230.40000915527344
6507,266.4000244140625,186.0
6167,250.8000030517578,234.00001525878906
6887,256.8000183105469,192.0
6886,399.6000061035156,192.0
5545,369.6000061035156,282.0
6753,393.6000061035156,235.20001220703125
7103,294.0,276.0
6924,252.00001525878906,271.20001220703125
2869,295.20001220703125,196.8000030517578
177,298.8000183105469,266.4000244140625
6286,252.00001525878906,226.8000030517578
7105,297.6000061035156,196.8000030517578
6881,504.0000305175781,436.8000183105469
4755,346.8000183105469,198.00001525878906
6880,255.60000610351562,247.20001220703125
4811,368.4000244140625,204.00001525878906
6894,315.6000061035156,206.40000915527344
6799,321.6000061035156,391.20001220703125
7211,297.6000061035156,252.00001525878906
7212,364.8000183105469,208.8000030517578
6892,296.4000244140625,264.0
7003,304.8000183105469,210.00001525878906
4003,361.20001220703125,212.40000915527344
4004,366.0,213.60000610351562
7213,292.8000183105469,319.20001220703125
6746,61.20000076293945,186.0
6990,470.4000244140625,343.20001220703125
7214,253.20001220703125,253.20001220703125
5842,300.0,271.20001220703125
5322,301.20001220703125,243.60000610351562
7215,321.6000061035156,226.8000030517578
7109,297.6000061035156,244.8000030517578
7106,304.8000183105469,240.00001525878906
7111,262.8000183105469,230.40000915527344
7216,385.20001220703125,247.20001220703125
7104,315.6000061035156,236.40000915527344
7011,276.0,220.8000030517578
6056,318.0,226.8000030517578
6632,303.6000061035156,248.40000915527344
6755,292.8000183105469,252.00001525878906
6640,361.20001220703125,201.60000610351562
7217,370.8000183105469,272.4000244140625
7108,118.80000305175781,426.0000305175781
7218,488.4000244140625,194.40000915527344
6898,357.1200256347656,429.1200256347656
6899,361.44000244140625,93.60000610351562
5451,365.760009765625,93.60000610351562
7219,349.9200134277344,92.16000366210938
7220,244.8000030517578,145.44000244140625
4286,262.08001708984375,167.04000854492188
7017,259.20001220703125,171.36000061035156
6900,416.1600036621094,177.12001037597656
5338,264.96002197265625,178.5600128173828
7221,406.08001708984375,184.32000732421875
