uid,x0,y0,x1,y1
1,261.107758,344.477997,244.604187,377.672180
2,297.331421,110.925247,487.100800,112.245728
3,306.093628,120.607292,478.164978,122.067650
4,595.277039,132.073532,639.109375,132.814514
5,476.119751,244.758545,307.398865,246.247986
6,314.455383,129.538971,469.310760,130.964722
7,215.881729,317.044250,258.529205,318.621826
8,18.269119,0.000000,79.077881,49.569664
9,586.985352,315.833435,546.033569,317.661530
10,609.074341,404.310669,247.654175,408.839539
11,586.991821,315.770935,639.080444,331.596497
12,468.951569,236.433167,314.865173,237.866364
13,296.333160,111.780487,296.100525,254.147156
14,404.638519,346.178650,430.320801,375.656525
15,259.241394,318.025574,238.982483,345.636322
16,487.599030,255.095383,297.165375,256.080444
17,185.362732,406.376099,81.780052,407.641479
18,488.942261,112.378654,487.545624,253.850266
19,578.013672,114.427811,639.100708,116.767494
20,544.192017,342.342102,611.890076,374.695404
21,188.914490,344.304382,186.282959,447.702759
22,639.443298,342.697266,616.953064,344.128357
23,238.881622,345.328430,189.290909,346.179352
24,609.987671,374.566223,245.572800,376.910309
25,577.875000,117.051247,577.455322,289.133881
26,306.729340,120.983688,305.585297,244.877243
27,258.286987,448.741821,258.192200,478.608154
28,208.357574,448.851501,208.777588,479.172607
29,543.466309,342.175598,438.632477,343.316223
30,214.777832,318.160126,187.925110,343.255585
31,260.030853,318.502045,261.152527,344.787048
32,578.739075,288.764923,586.874207,315.039642
33,544.828857,316.649292,543.701355,342.454529
34,478.704071,121.242111,477.594238,245.046326
35,217.105331,289.191864,309.407959,290.336792
36,639.153442,445.565735,187.618347,448.889557
37,75.508156,47.285049,640.000000,53.276752
38,546.946655,317.137756,616.111816,340.884430
39,78.719604,48.553864,78.660034,167.190491
40,216.912827,288.545837,215.674072,317.543579
41,265.960266,448.771393,265.730225,478.053955
42,241.512009,344.893799,244.562622,447.999176
43,469.325989,129.941040,469.102203,236.740707
44,80.382156,384.837341,186.435791,385.968079
45,302.136627,343.554626,262.394501,344.328674
46,575.862549,286.865906,431.410492,288.061798
47,78.217743,214.188965,79.325577,406.204681
48,81.265594,408.350586,3.042390,464.176208
49,428.968628,371.696106,429.012482,407.119629
50,79.499321,385.765228,1.977959,436.244263
51,77.987030,47.948627,79.625809,406.163635
52,610.618347,375.897980,612.207031,444.478943
53,102.551720,214.284668,102.583206,433.621857
54,543.779236,341.180664,261.977936,346.173920
55,595.449829,133.008606,596.149780,318.256775
56,592.038879,446.202209,592.545288,474.088684
57,79.910973,408.640533,27.120550,447.586151
58,611.150879,407.091736,611.581970,444.408783
59,580.018372,286.218231,216.422241,294.633514
60,260.344208,477.223724,264.656433,478.395325
61,613.370239,349.251038,612.115479,434.710602
62,577.417358,116.357391,577.690002,287.556427
63,214.827133,317.615479,189.786972,340.787140
64,133.450562,172.582962,133.159943,213.786972
65,545.793823,342.339752,376.417114,344.227478
66,66.656151,168.554688,66.633118,212.557281
67,245.758850,376.222809,245.658234,446.424072
68,638.083130,444.468384,638.032898,480.000000
69,258.908417,317.772522,259.891998,345.470825
