uid,x,y
950,550.0,82.0
520,189.0,179.0
951,552.0,357.0
952,570.0,64.0
953,82.0,44.0
34,554.0,364.0
954,543.0,79.0
751,577.0,101.0
536,158.0,104.0
507,49.0,339.0
821,571.0,337.0
955,131.0,277.0
742,191.0,176.0
517,174.0,121.0
1,86.0,44.0
956,537.0,306.0
957,546.0,88.0
958,522.0,259.0
744,544.0,372.0
959,204.0,214.0
960,194.0,224.0
514,198.0,221.0
961,228.0,204.0
511,571.0,215.0
962,229.0,200.0
963,447.0,426.0
964,443.0,427.0
965,412.0,160.0
765,597.0,75.0
966,546.0,76.0
967,430.0,428.0
7,434.0,428.0
968,436.0,429.0
969,582.0,70.0
970,546.0,78.0
766,556.0,70.0
971,176.0,82.0
77,528.0,82.0
972,582.0,68.0
167,193.0,132.0
539,537.0,83.0
812,163.0,118.0
301,161.0,117.0
973,565.0,61.0
770,567.0,62.0
974,595.0,113.0
560,548.0,84.0
975,596.0,110.0
750,580.0,102.0
976,583.0,101.0
797,522.0,86.0
533,608.0,100.0
763,567.0,95.0
764,565.0,95.0
745,544.0,376.0
977,550.0,90.0
100,552.0,88.0
796,114.0,438.0
978,576.0,80.0
789,573.0,85.0
979,532.0,86.0
980,574.0,82.0
792,168.0,418.0
790,559.0,69.0
559,560.0,82.0
981,118.0,284.0
982,563.0,81.0
72,286.0,204.0
983,92.0,302.0
984,137.0,445.0
985,592.0,94.0
986,558.0,76.0
92,568.0,214.0
987,566.0,214.0
988,150.0,438.0
795,154.0,424.0
799,581.0,207.0
989,564.0,214.0
757,550.0,79.0
794,165.0,440.0
784,164.0,414.0
990,578.0,84.0
754,565.0,85.0
991,554.0,86.0
992,586.0,190.0
993,608.0,92.0
994,576.0,158.0
995,193.0,221.0
996,146.0,434.0
530,565.0,87.0
842,106.0,448.0
997,578.0,98.0
998,542.0,74.0
619,571.0,57.0
776,160.0,428.0
200,597.0,99.0
999,578.0,96.0
1000,567.0,91.0
383,575.0,89.0
769,584.0,76.0
749,562.0,92.0
1001,571.0,81.0
806,545.0,85.0
1002,172.0,404.0
772,579.0,87.0
1003,176.0,408.0
1004,561.0,75.0
779,557.0,81.0
1005,606.0,94.0
122,193.20001220703125,220.8000030517578
1006,92.4000015258789,302.4000244140625
832,127.20000457763672,277.20001220703125
151,548.4000244140625,282.0
1007,164.40000915527344,439.20001220703125
841,585.6000366210938,189.60000610351562
1008,198.00001525878906,220.8000030517578
1009,85.20000457763672,44.400001525878906
1010,228.00001525878906,200.40000915527344
875,183.60000610351562,46.80000305175781
827,591.6000366210938,93.60000610351562
1011,150.0,438.0000305175781
547,132.0,49.20000076293945
566,134.40000915527344,50.400001525878906
605,597.6000366210938,99.60000610351562
1012,576.0,202.8000030517578
835,520.800048828125,85.20000457763672
1013,578.4000244140625,86.4000015258789
1014,560.4000244140625,82.80000305175781
811,561.6000366210938,217.20001220703125
594,549.6000366210938,81.60000610351562
150,536.4000244140625,82.80000305175781
1015,552.0,354.0
828,561.6000366210938,80.4000015258789
574,550.800048828125,356.4000244140625
1016,193.20001220703125,224.40000915527344
867,574.800048828125,208.8000030517578
1017,176.40000915527344,82.80000305175781
601,595.2000122070312,100.80000305175781
1018,596.4000244140625,109.20000457763672
36,542.4000244140625,375.6000061035156
1019,594.0,112.80000305175781
1020,573.6000366210938,81.60000610351562
807,190.8000030517578,175.20001220703125
519,564.0,60.000003814697266
847,579.6000366210938,102.00000762939453
282,48.0,338.4000244140625
1021,157.20001220703125,102.00000762939453
582,566.4000244140625,61.20000076293945
563,435.6000061035156,428.4000244140625
567,429.6000061035156,428.4000244140625
1022,574.800048828125,62.400001525878906
1023,162.0,117.60000610351562
589,228.00001525878906,204.00001525878906
1024,117.60000610351562,284.4000244140625
131,286.8000183105469,204.00001525878906
1025,583.2000122070312,100.80000305175781
840,159.60000610351562,427.20001220703125
1026,582.0,204.00001525878906
598,174.0,121.20000457763672
4,446.4000244140625,426.0000305175781
